quote,author
"Pain is inevitable, but misery is optional.",Tim Hansel
"To avoid criticism, do nothing, say nothing, be nothing.",Elbert Hubbard
Believe and act as if it were impossible to fail.,Charles Kettering
Never get out of the boat. Absolutely goddamn right. Unless you were goin' all the way.,Captain Willard
Nobody can make you feel inferior without your consent.,Eleanor Roosevelt
What we fear doing most is usually what we most need to do.,Tim Ferriss
Everything you’ve ever wanted is on the other side of fear.,George Addair
Success is going from failure to failure without losing your enthusiasm.,Winston Churchill
"If there is no struggle, there is no progress.",Frederick Douglass
There are no short cuts to any place worth going.,Beverly Sills
"In each business, we have two strands: the day-to-day, and the future group thinking, 'How do I disrupt myself?' The people running it can't be the same ones thinking about its disruption.",Martin Reeves
No person will have occasion to complain of the want of time who never loses any.,Thomas Jefferson
The most common form of despair is not being who you are.,Kurt Vonnegut
There are no traffic jams along the extra mile.,Roger Staubach
"Do it trembling if you must, but do it!",Emmet Fox
"Money is, in some respects, like fire. It is a very excellent servant, but a terrible master.",P. T. Barnum
"If you don't go after what you want, you'll never have it. If you don't ask, the answer is always no. If you don't step forward, you're always in the same place.",Nora Roberts
And it is awfully hard to come up with those ideas if you don't have any time to think.,Paul B. Brown
You miss 100% of the shots you don’t take.,Wayne Gretzky
Every next level of your life will demand a different version of you.,Unknown
Every strike brings me closer to the next home run.,Babe Ruth
Obsessed is just a word the lazy use to describe the dedicated.,Russell Warren
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch
Change your thoughts and you change your world.,Norman Vincent Peale
"If you aren’t going all the way, why go at all?",Joe Namath
The dreamers are the saviors of the world.,James Allen
One thing modeling taught me is that the spotlight can change everything.,Liya Kebede
"It’s not whether you get knocked down, it’s whether you get up.",Vince Lombardi
Very often a change of self is needed more than a change of scene.,Arthur Christopher Benson
You must do what others don't to achieve what others won't.,Les Brown
I don't know who my grandfather was; I am much more concerned to know what his grandson will be.,Abraham Lincoln
"If you have everything under control, you’re not moving fast enough.",Mario Andretti
You've got to bumble forward into the unknown.,Frank Gehry
How Everyone you Will Ever Meet Knows Something that You Don't.,Bill Nye
Don’t wait. The time will never be just right.,Napoleon Hill
"Learn from yesterday, live for today, look to tomorrow, rest this afternoon.",Charles M. Schulz
The power of imagination makes us infinite.,John Muir
Forever is composed of nows.,Emily Dickinson
"Don’t count the days, make the days count.",Muhammad Ali
"Always make a total effort, even when the odds are against you.",Arnold Palmer
"If you can’t outplay them, outwork them.",Ben Hogan
"When you come to a roadblock, take a detour.",Mary Kay Ash
Believe you can and you’re halfway there.,Theodore Roosevelt
"Do what you can, where you are, with what you have.",Teddy Roosevelt
"Even if you’re on the right track, you’ll get run over if you just sit there.",Will Rogers
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll
Life's simple. You make choices and you don't look back.,Han
Light tomorrow with today.,Elizabeth Barrett Browning
I will go anywhere as long as it is forward.,David Livingston
The difference between ordinary and extraordinary is that little extra.,Jimmy Johnson
Don't live the same day over and over again and call that a life.,Germany Kent
"When you talk, you are only repeating what you already know. But if you listen, you may learn something new.",The Dalai Lama
"If you have some power, then your job is to empower somebody else.",Toni Morrison
It is never too late to be what you might have been.,George Eliot
The price of anything is the amount of life you exchange for it.,Henry David Thoreau
"It does not do to leave a live dragon out of your calculations, if you live near him.","J.R.R. Tolkien, The Hobbit or There and Back Again"
"Tough times never last, but tough people do.",Dr. Robert Schuller
"The more I want to get something done, the less I call it work.",Richard Bach
